id,name,countyFIPS,population,totDeaths,totCases,prctCaseDie,Tot_UN_IN,NUM_Unins,NUM_Ins,prctUnins,POV_UNI,EST_TOT_PV,prctPOV,MEDI_INC,UND_18,UND_18_POV,prctPOV_UND-18
41,Grand,8049,15734,1,154,0.006493506,12727,1301,11426,0.102223619,15465,1219,0.078823149,69214,2584,302,0.116873065
42,Logan,8075,22409,13,1271,0.010228167,14691,1465,13226,0.099720918,18483,2674,0.144673484,53168,3894,657,0.168721109
43,Clear Creek,8019,9700,1,86,0.011627907,7586,505,7081,0.066569997,9514,686,0.072104267,74019,1437,146,0.101600557
44,Moffat,8081,13283,1,72,0.013888889,11020,1061,9959,0.096279492,13075,1614,0.123441683,59500,3386,565,0.166863556
45,Teller,8119,25388,4,240,0.016666667,19450,1481,17969,0.076143959,24927,1851,0.07425683,64850,4228,528,0.124881741
46,Boulder,8013,326196,86,5756,0.014940931,271100,20047,251053,0.073946883,314884,30699,0.097493045,83591,61584,4149,0.067371395
47,Kiowa,8061,1406,0,5,0,1046,98,948,0.093690249,1367,188,0.137527432,44704,307,59,0.19218241
48,Chaffee,8015,20356,20,422,0.047393365,13531,1491,12040,0.110191412,18562,2023,0.108986101,56168,2969,408,0.137420007
49,Hinsdale,8053,820,0,3,0,558,61,497,0.109318996,798,69,0.086466165,62149,112,19,0.169642857
50,Jackson,8057,1392,0,9,0,1071,147,924,0.137254902,1399,188,0.134381701,51457,240,48,0.2
51,Weld,8123,324492,159,6394,0.024867063,270731,25472,245259,0.094086012,308764,32314,0.104655983,75629,81463,10772,0.132231811
52,San Juan,8111,728,0,7,0,579,60,519,0.103626943,759,109,0.143610013,46878,93,19,0.204301075
53,Montrose,8085,42758,13,484,0.026859504,31800,3745,28055,0.117767296,41792,4854,0.116146631,52576,9019,1573,0.17440958
54,Broomfield,8014,70465,42,1041,0.040345821,60199,3078,57121,0.051130417,68916,3364,0.048813048,96924,15922,814,0.051124231
55,Washington,8121,4908,0,104,0,3683,343,3340,0.0931306,4720,646,0.136864407,47869,1105,217,0.19638009
56,Routt,8107,25638,8,221,0.036199095,21606,1958,19648,0.090622975,25503,1783,0.069913344,81033,4634,339,0.073154942
57,Archuleta,8007,14029,0,68,0,10017,1346,8671,0.134371568,13652,1525,0.111705245,53337,2448,506,0.206699346
58,Gilpin,8047,6243,0,30,0,5068,193,4875,0.038082084,6076,410,0.067478604,72949,937,95,0.101387407
59,Denver,8031,727211,451,18937,0.02381581,618121,63647,554474,0.102968513,703247,82104,0.116749876,68069,138083,23024,0.166740294
60,Park,8093,18845,1,106,0.009433962,14661,1298,13363,0.088534206,18443,1487,0.080626796,72121,2770,335,0.120938628
61,El Paso,8041,720403,204,10612,0.019223521,602826,51650,551176,0.085679782,693386,68538,0.098845376,67923,170120,22394,0.131636492
62,Arapahoe,8005,656590,385,13313,0.028919102,562984,50188,512796,0.089146406,646138,52474,0.081211754,76665,151674,15606,0.102891728
63,Huerfano,8055,6897,2,34,0.058823529,4630,379,4251,0.081857451,6735,1459,0.216629547,38242,1110,415,0.373873874
